AÑO_INFRACCION,MES_INFRACCION,COD_INFRACCION,DESC_INFRACCION,TIPO_INFRACCION,SERVICIO_VEHICULO_INFRACTOR,CLASE_VEHICULO_INFRACTOR,CANTIDAD_INFRACCIONES
2022,1,587,Cuando se compruebe la inexistencia o alteración de los documentos que sustentan la operación del vehículo y sólo por el tiempo requerido para clarificar los hechos.,Transporte,PUBLICO,AUTOMOVIL,6
2022,1,587,Cuando se compruebe la inexistencia o alteración de los documentos que sustentan la operación del vehículo y sólo por el tiempo requerido para clarificar los hechos.,Transporte,PUBLICO,BUSETA,2
2022,1,587,Cuando se compruebe la inexistencia o alteración de los documentos que sustentan la operación del vehículo y sólo por el tiempo requerido para clarificar los hechos.,Transporte,PUBLICO,CAMION,3
2022,1,587,Cuando se compruebe la inexistencia o alteración de los documentos que sustentan la operación del vehículo y sólo por el tiempo requerido para clarificar los hechos.,Transporte,PUBLICO,CAMIONETA,1
2022,1,587,Cuando se compruebe la inexistencia o alteración de los documentos que sustentan la operación del vehículo y sólo por el tiempo requerido para clarificar los hechos.,Transporte,PUBLICO,MICROBUS,4
2022,1,587,Cuando se compruebe la inexistencia o alteración de los documentos que sustentan la operación del vehículo y sólo por el tiempo requerido para clarificar los hechos.,Transporte,PUBLICO,TRACTO/CAMION,1
2022,1,590,"Cuando se compruebe que el equipo está prestando un servicio no autorizado, entendiéndose como aquel servicio que se preta a través de un vehículo automotor de servicio público sin el permiso, o cuando se preste contrariando las condiciones iniciales.",Transporte,PUBLICO,AUTOMOVIL,37
2022,1,590,"Cuando se compruebe que el equipo está prestando un servicio no autorizado, entendiéndose como aquel servicio que se preta a través de un vehículo automotor de servicio público sin el permiso, o cuando se preste contrariando las condiciones iniciales.",Transporte,PUBLICO,CAMIONETA,1
2022,1,590,"Cuando se compruebe que el equipo está prestando un servicio no autorizado, entendiéndose como aquel servicio que se preta a través de un vehículo automotor de servicio público sin el permiso, o cuando se preste contrariando las condiciones iniciales.",Transporte,PUBLICO,MICROBUS,2
2022,1,A01,No transitar por la derecha de la vía,Transito,Otros,BICICLETA O TRICICLO,6
2022,1,A01,No transitar por la derecha de la vía,Transito,Otros,Otros,7
2022,1,A01,No transitar por la derecha de la vía,Transito,Otros,BICICLETA O TRICICLO,1
2022,1,A01,No transitar por la derecha de la vía,Transito,Otros,Otros,4
